1.333333333333333419e-02,1.333333333333333419e-02,1.333333333333333419e-02,1.333333333333333419e-02,1.333333333333333419e-02,1.333333333333333419e-02,2.800000000000000266e-01,1.333333333333333419e-02,1.333333333333333419e-02,1.333333333333333419e-02,1.333333333333333419e-02,1.333333333333333419e-02,1.333333333333333419e-02,1.333333333333333419e-02,5.466666666666666341e-01
1.052631578947368397e-02,1.052631578947368397e-02,1.052631578947368397e-02,1.157894736842105393e-01,1.052631578947368397e-02,7.473684210526315708e-01,1.052631578947368397e-02,1.052631578947368397e-02,1.052631578947368397e-02,1.052631578947368397e-02,1.052631578947368397e-02,1.052631578947368397e-02,1.052631578947368397e-02,1.052631578947368397e-02,1.052631578947368397e-02
4.057142857142856940e-01,5.714285714285714281e-03,1.200000000000000094e-01,5.714285714285714281e-03,2.342857142857142638e-01,5.714285714285714281e-03,5.714285714285714281e-03,5.714285714285714281e-03,5.714285714285714281e-03,5.714285714285714281e-03,5.714285714285714281e-03,1.771428571428571574e-01,5.714285714285714281e-03,5.714285714285714281e-03,5.714285714285714281e-03
1.052631578947368397e-02,1.052631578947368397e-02,1.157894736842105393e-01,1.052631578947368397e-02,1.052631578947368397e-02,1.052631578947368397e-02,1.052631578947368397e-02,1.052631578947368397e-02,1.052631578947368397e-02,1.052631578947368397e-02,1.052631578947368397e-02,1.052631578947368397e-02,7.473684210526315708e-01,1.052631578947368397e-02,1.052631578947368397e-02
5.945945945945946276e-02,5.405405405405405705e-03,5.405405405405405705e-03,5.405405405405405705e-03,5.405405405405405705e-03,2.216216216216216062e-01,1.675675675675675769e-01,5.405405405405405705e-03,5.405405405405405705e-03,5.945945945945946276e-02,5.405405405405405705e-03,5.405405405405405705e-03,3.837837837837837496e-01,5.405405405405405705e-03,5.945945945945946276e-02
1.052631578947368397e-02,1.052631578947368397e-02,1.157894736842105393e-01,1.052631578947368397e-02,1.052631578947368397e-02,1.052631578947368397e-02,1.052631578947368397e-02,1.052631578947368397e-02,1.052631578947368397e-02,1.052631578947368397e-02,1.052631578947368397e-02,3.263157894736842257e-01,4.315789473684210065e-01,1.052631578947368397e-02,1.052631578947368397e-02
1.052631578947368397e-02,1.052631578947368397e-02,1.052631578947368397e-02,2.210526315789473895e-01,1.052631578947368397e-02,1.052631578947368397e-02,1.052631578947368397e-02,2.210526315789473895e-01,1.157894736842105393e-01,1.052631578947368397e-02,2.210526315789473895e-01,1.052631578947368397e-02,1.052631578947368397e-02,1.157894736842105393e-01,1.052631578947368397e-02
6.451612903225806446e-03,6.451612903225806446e-03,6.451612903225806446e-03,6.451612903225806446e-03,2.000000000000000111e-01,6.451612903225806446e-03,6.451612903225806446e-03,6.451612903225806446e-03,6.451612903225806446e-03,6.451612903225806446e-03,6.451612903225806446e-03,6.451612903225806446e-03,7.161290322580644574e-01,6.451612903225806446e-03,6.451612903225806446e-03
6.060606060606060601e-03,1.878787878787878951e-01,6.666666666666666574e-02,6.060606060606060601e-03,6.060606060606060601e-03,6.060606060606060601e-03,6.060606060606060601e-03,1.878787878787878951e-01,6.060606060606060601e-03,6.060606060606060601e-03,6.060606060606060601e-03,6.060606060606060601e-03,4.909090909090909061e-01,6.060606060606060601e-03,6.060606060606060601e-03
4.878048780487804874e-03,5.365853658536585968e-02,1.024390243902439102e-01,4.878048780487804874e-03,1.999999999999999833e-01,4.878048780487804874e-03,4.878048780487804874e-03,3.463414634146341209e-01,5.365853658536585968e-02,4.878048780487804874e-03,1.999999999999999833e-01,4.878048780487804874e-03,4.878048780487804874e-03,4.878048780487804874e-03,4.878048780487804874e-03
1.333333333333333419e-02,1.466666666666666674e-01,1.333333333333333419e-02,1.333333333333333419e-02,1.333333333333333419e-02,1.333333333333333419e-02,1.333333333333333419e-02,6.799999999999999378e-01,1.333333333333333419e-02,1.333333333333333419e-02,1.333333333333333419e-02,1.333333333333333419e-02,1.333333333333333419e-02,1.333333333333333419e-02,1.333333333333333419e-02
9.523809523809524669e-03,9.523809523809524669e-03,9.523809523809524669e-03,9.523809523809524669e-03,9.523809523809524669e-03,9.523809523809524669e-03,1.047619047619047644e-01,9.523809523809524669e-03,9.523809523809524669e-03,9.523809523809524669e-03,9.523809523809524669e-03,9.523809523809524669e-03,5.809523809523808868e-01,2.000000000000000111e-01,9.523809523809524669e-03
2.470588235294117752e-01,1.176470588235294101e-02,1.176470588235294101e-02,1.176470588235294101e-02,1.176470588235294101e-02,1.176470588235294101e-02,1.294117647058823650e-01,1.176470588235294101e-02,1.294117647058823650e-01,1.176470588235294101e-02,1.176470588235294101e-02,1.176470588235294101e-02,1.176470588235294101e-02,1.176470588235294101e-02,3.647058823529412130e-01
1.157894736842105393e-01,1.052631578947368397e-02,1.052631578947368397e-02,1.052631578947368397e-02,1.052631578947368397e-02,1.052631578947368397e-02,1.052631578947368397e-02,1.052631578947368397e-02,2.210526315789473895e-01,1.052631578947368397e-02,1.157894736842105393e-01,1.052631578947368397e-02,4.315789473684210065e-01,1.052631578947368397e-02,1.052631578947368397e-02
